device,accuracy,val_accuracy,loss,val_loss,day,execute_time_seconds,evaluate_time_seconds,is_model_changed,evaluate_accuracy
13,0.917894721,0.9411764741,0.2198271093,0.2155613971,6,422.177983045578,87.17187595367432,0.0,0.9411764740943908
14,0.8989473581,0.8823529482,0.2626486963,0.2626173983,6,413.1340410709381,85.92873811721802,1.0,0.894957959651947
15,0.8968421221,0.9243697524,0.2424307967,0.2196384534,6,417.5985314846039,87.79721546173096,1.0,0.9369747638702391
16,0.9115789532661438,0.911764681339264,0.2165244680643081,0.2646696204940478,6,416.3237638473511,85.8756012916565,1.0,0.9369747638702391
17,0.9136841893,0.9327731133,0.2425203215,0.170902543,6,417.8567125797272,88.33169460296631,0.0,0.9159663915634156
18,0.917894721031189,0.9285714030265808,0.2244682976603508,0.1892452716827392,6,425.2023746967316,87.24072265625,0.0,0.9201680421829224
19,0.9031578898,0.8865545988,0.2510458224,0.267654785,6,424.53074193000793,86.31795048713684,0.0,0.8781512379646301
0,0.9242105484,0.9117646813,0.188166603,0.2146960792,7,417.4266571998596,97.73068475723268,1.0,0.9201680421829224
1,0.917894721031189,0.9075630307197572,0.1889792517768709,0.2425802816947301,7,416.8515758514404,87.13116669654846,1.0,0.9327731132507324
2,0.9073684216,0.8991596699,0.2405460296,0.2619023855,7,413.8948092460632,88.51715087890625,1.0,0.9201680421829224
3,0.9284210801,0.928571403,0.1792259569,0.2468218692,7,418.1018514633178,87.10296487808228,0.0,0.8907563090324402
4,0.9010526537895204,0.894957959651947,0.2327596808734693,0.2407950808604558,7,413.6038360595703,88.23217105865479,1.0,0.9075630307197572
5,0.8968421221,0.9117646813,0.2514667069,0.2761923462,7,411.25974440574646,86.8391764163971,1.0,0.9285714030265808
6,0.9084210396,0.8865545988,0.2279980037,0.3016548897,7,413.53569626808167,88.41038727760315,1.0,0.9033613204956056
7,0.9315789341926576,0.8907563090324402,0.1787934933367528,0.3084711556633313,7,418.2221050262451,87.09031248092651,1.0,0.894957959651947
8,0.8999999762,0.9201680422,0.2511507334,0.2069714566,7,416.7201025485992,88.96012878417969,1.0,0.9495798349380492
9,0.8789473772,0.9369747639,0.281353731,0.2173805378,7,422.3823482990265,88.19791030883789,0.0,0.9327731132507324
10,0.9021052718,0.8445377946,0.2719959625,0.309705927,7,410.3005616664887,87.58890342712402,1.0,0.911764681339264
11,0.9063158035,0.9117646813,0.2122963596,0.2708229472,7,419.6484618186951,85.72111678123474,0.0,0.9075630307197572
12,0.9210526347,0.8865545988,0.2080258704,0.2558333074,7,414.2595546245575,87.25476503372192,1.0,0.9033613204956056
13,0.917894721,0.9411764741,0.2198271093,0.2155613971,7,418.50996446609497,89.14900088310242,0.0,0.9369747638702391
14,0.921052634716034,0.9075630307197572,0.1934800277571929,0.2055842665334542,7,418.6805107593536,85.23773121833801,0.0,0.9033613204956056
15,0.8968421221,0.9243697524,0.2424307967,0.2196384534,7,411.9263095855713,87.3866868019104,1.0,0.9327731132507324
16,0.9115789533,0.9117646813,0.2165244681,0.2646696205,7,407.1505148410797,87.7333471775055,1.0,0.9327731132507324
17,0.9136841893,0.9327731133,0.2425203215,0.170902543,7,420.532345533371,88.3719892501831,0.0,0.924369752407074
18,0.917894721,0.928571403,0.2244682977,0.1892452717,7,418.2593126296997,86.48954463005066,0.0,0.9159663915634156
19,0.9357894659042358,0.8907563090324402,0.1758740513889413,0.2798408096035321,7,425.3992071151733,89.6081075668335,0.0,0.8739495873451233
0,0.9378947615623474,0.9159663915634156,0.1883702776581049,0.1837031284968058,8,415.7733137607575,86.91902542114258,1.0,0.924369752407074
1,0.921052634716034,0.9201680421829224,0.2149639499697246,0.1860599711537361,8,418.72025299072266,85.07648539543152,1.0,0.9327731132507324
2,0.9073684216,0.8991596699,0.2405460296,0.2619023855,8,409.3291838169098,89.78352499008179,1.0,0.9201680421829224
3,0.9284210801,0.928571403,0.1792259569,0.2468218692,8,424.6743369102478,102.06443619728088,0.0,0.894957959651947
4,0.9010526538,0.8949579597,0.2327596809,0.2407950809,8,415.6071486473084,87.67351746559143,1.0,0.9075630307197572
5,0.8968421221,0.9117646813,0.2514667069,0.2761923462,8,416.2600238323212,89.04695892333984,1.0,0.9327731132507324
6,0.9084210396,0.8865545988,0.2279980037,0.3016548897,8,410.073648929596,87.36039161682129,1.0,0.8991596698760986
7,0.9315789342,0.890756309,0.1787934933,0.3084711557,8,413.1694543361664,89.19928503036499,1.0,0.8991596698760986
8,0.8999999762,0.9201680422,0.2511507334,0.2069714566,8,415.3074860572815,92.68413281440736,1.0,0.9537814855575562
9,0.8789473772,0.9369747639,0.281353731,0.2173805378,8,421.5589547157288,90.1508138179779,0.0,0.9327731132507324
10,0.9368420839309692,0.8907563090324402,0.1693622757396415,0.2230946637690067,8,418.9472551345825,86.64561915397644,1.0,0.911764681339264
11,0.9063158035,0.9117646813,0.2122963596,0.2708229472,8,420.6985676288605,85.68431758880615,1.0,0.911764681339264
12,0.9210526347,0.8865545988,0.2080258704,0.2558333074,8,408.9113395214081,85.57495903968811,1.0,0.9033613204956056
13,0.917894721,0.9411764741,0.2198271093,0.2155613971,8,423.1396877765656,86.18172907829285,0.0,0.9411764740943908
14,0.9210526347,0.9075630307,0.1934800278,0.2055842665,8,423.42684745788574,85.38073492050171,0.0,0.9033613204956056
15,0.9273684024810792,0.9285714030265808,0.1852414062227073,0.2526854624350865,8,417.4220600128174,87.37568950653076,1.0,0.9327731132507324
16,0.9200000166893004,0.9159663915634156,0.2053866949834321,0.232779873162508,8,415.39920806884766,86.54188656806946,1.0,0.9327731132507324
17,0.9136841893,0.9327731133,0.2425203215,0.170902543,8,424.0881540775299,89.19421982765198,0.0,0.924369752407074
18,0.917894721,0.928571403,0.2244682977,0.1892452717,8,419.5168108940125,88.0765733718872,0.0,0.9201680421829224
19,0.9294736981391908,0.8991596698760986,0.1786844687399111,0.2494318887591362,8,430.16007566452026,85.90436792373657,0.0,0.8781512379646301
0,0.9378947616,0.9159663916,0.1883702777,0.1837031285,9,415.5529906749725,86.53550434112549,1.0,0.9201680421829224
1,0.9294736981391908,0.924369752407074,0.1723587910281984,0.2058654186626275,9,418.5168113708496,87.61262536048889,1.0,0.9327731132507324
2,0.8926315903663635,0.9033613204956056,0.2494346261965601,0.2640512008219957,9,415.4128534793854,87.94879055023193,1.0,0.9201680421829224
